State,AvgTemp,ClearDays,Precip,Crime,Population,LandArea,Income
Alabama,63.7,99,58.3,453.6,4.8,50.6,51.7
Alaska,28.1,61,22.5,837.8,0.7,570.6,75.5
Arizona,61.1,193,13.6,654.8,6.4,113.6,62
Arkansas,61.1,123,50.6,671.9,2.9,52,48.9
California,59.1,146,22.2,442,37.2,155.8,80.4
Colorado,46.3,136,15.9,423.1,5,103.6,77.1
Connecticut,50,82,50.3,181.6,3.6,4.8,78.8
Delaware,56.3,97,45.7,431.9,0.9,1.9,70.2
Florida,71.5,101,54.5,383.6,18.8,53.6,59.2
Georgia,64.3,112,50.7,400.1,9.7,57.3,62
Hawaii,70.2,90,63.7,254.2,1.4,6.4,83.1
Idaho,44,120,18.9,242.6,1.6,82.6,61
Illinois,52.7,95,39.2,425.9,12.8,55.5,69.2
Indiana,52.5,88,41.7,357.7,6.5,35.8,57.6
Iowa,48.4,105,34,303.5,3,55.9,61.7
Kansas,55.1,128,28.9,425,2.8,81.8,62.1
Kentucky,56.4,93,48.9,259.1,4.3,39.5,52.3
Louisiana,67.2,101,60.1,639.4,4.5,43.2,51.1
Maine,41.9,101,42.2,108.6,1.3,30.8,58.9
Maryland,55.5,105,44.5,399.9,5.8,9.7,86.7
Massachusetts,48.9,98,47.7,308.8,6.5,7.8,85.8
Michigan,45.3,71,32.8,478,9.9,56.5,59.6
Minnesota,41.8,95,27.3,277.5,5.3,79.6,74.6
Mississippi,64.3,111,59,291.2,3,46.9,45.8
Missouri,55.3,115,42.2,542.7,6,68.7,57.4
Montana,42.6,82,15.3,469.8,1,145.5,57.1
Nebraska,49.5,117,23.6,334.1,1.8,76.8,63.2
Nevada,51.1,158,9.5,460.3,2.7,109.8,63.3
New Hampshire,44.2,90,43.4,146.4,1.3,8.9,77.9
New Jersey,53.6,94,47.1,195.4,8.9,7.3,85.7
New Mexico,54.5,167,14.6,778.3,2.1,121.3,51.9
New York,46.1,63,41.8,363.8,19.4,47.1,72.1
North Carolina,59.6,109,50.3,419.3,9.5,48.6,57.3
North Dakota,41.1,93,17.8,329,0.7,69,64.6
Ohio,51.8,72,39.1,308.8,11.5,40.9,58.6
Oklahoma,60.4,139,36.5,458.6,3.7,68.6,54.4
Oregon,48,68,27.4,291.9,3.8,96,67.1
Pennsylvania,49.6,87,42.9,389.5,12.7,44.7,63.5
Rhode Island,50.8,98,47.9,230.8,1,1,71.2
South Carolina,63.4,115,49.8,530.7,4.6,30.1,56.2
South Dakota,45.8,104,20.1,501.4,0.8,75.8,59.5
Tennessee,58.5,102,54.2,672.7,6.3,41.2,56.1
Texas,65.8,135,28.9,446.5,25.1,261.2,64
Utah,49.3,125,12.2,260.7,3.2,82.2,75.8
Vermont,43.2,58,42.7,173.4,0.6,9.2,63
Virginia,56.1,100,44.3,208,8.5,39.5,76.5
Washington,47.4,58,38.4,293.7,7.6,66.4,78.7
West Virginia,52.7,60,45.2,355.9,1.8,24,48.8
Wisconsin,44,89,32.6,323.4,5.8,54.2,64.2
Wyoming,42.3,114,12.9,234.2,0.6,97.1,65
